exodos	ἔξοδος	ἔξοδος	departure, leaving	1
exokha	ἔξοχα	ἔξοχος	prominent, eminent	0
exokhe	ἔξοχε	ἔξοχος	prominent, eminent	0
exokhon	ἔξοχον	ἔξοχον	eminently, chiefly	0
exokhos	ἔξοχος	ἔξοχος	prominent, eminent	0
exupnos	ἔξυπνος	ἔξυπνος	awakened out of sleep	0
exo	ἔξω	ἔξω	out, out of	0
exothen	ἔξωθεν	ἔξωθεν	from outside	0
eoi	ἔοι	εἰμί	to be	0
eoika	ἔοικα	ἔοικα	to seem likely	0
eoikas	ἔοικας	ἔοικα	to seem likely	0
eolpa	ἔολπα	ἔλπω	to cause to hope	0
eor	ἔορ	ἔορ	daughter of a cousin (a kind of female first cousin once rem	0
eorge	ἔοργε	ἔρδω	to act (as opposed to speaking or being acted on)	0
epaine	ἔπαινε	ἔπαινος	approval, praise	0
epainoi	ἔπαινοι	ἔπαινος	approval, praise	0
epainos	ἔπαινος	ἔπαινος	approval, praise	0
epalxis	ἔπαλξις	ἔπαλξις	battlement, parapet	0
eparkhos	ἔπαρχος	ἔπαρχος	commander, governor of a country, prefect	1
epaue	ἔπαυε	παύω	to make cease	0
epaues	ἔπαυες	παύω	to make cease	0
epauon	ἔπαυον	παύω	to make cease	0
epausa	ἔπαυσα	παύω	to make cease	0
epausan	ἔπαυσαν	παύω	to make cease	0
epausas	ἔπαυσας	παύω	to make cease	0
epause	ἔπαυσε	παύω	to make cease	0
epausen	ἔπαυσεν	παύω	to make cease	0
epea	ἔπεα	ἔπος	something spoken	1
epee	ἔπεε	ἔπος	something spoken	1
epei	ἔπει	ἔπος	something spoken	1
epeige	ἔπειγε	ἐπείγω	to press hard, oppress	0
epeithe	ἔπειθε	πείθω	to convince, persuade	0
epeithen	ἔπειθεν	πείθω	to convince, persuade	0
epeithes	ἔπειθες	πείθω	to convince, persuade	0
epeithon	ἔπειθον	πείθω	to convince, persuade	0
epeimi	ἔπειμι	ἔπειμι	to be upon	0
epeiran	ἔπειραν	πείρω	to pierce	0
epeisa	ἔπεισα	πείθω	to convince, persuade	0
epeisan	ἔπεισαν	πείθω	to convince, persuade	0
epeise	ἔπεισε	πείθω	to convince, persuade	0
epeisen	ἔπεισεν	πείθω	to convince, persuade	0
epeita	ἔπειτα	ἔπειτα	thereupon, thereafter, then	0
epempe	ἔπεμπε	πέμπω	to send, dispatch	0
epempen	ἔπεμπεν	πέμπω	to send, dispatch	0
epempes	ἔπεμπες	πέμπω	to send, dispatch	0
epempon	ἔπεμπον	πέμπω	to send, dispatch	0
epempsa	ἔπεμψα	πέμπω	to send, dispatch	0
epempsan	ἔπεμψαν	πέμπω	to send, dispatch	0
epempsen	ἔπεμψεν	πέμπω	to send, dispatch	0
epeos	ἔπεος	ἔπος	something spoken	1
eperse	ἔπερσε	πέρθω	to sack, ravage, destroy (a city)	0
epesi	ἔπεσι	ἔπος	something spoken	1
epesin	ἔπεσιν	ἔπος	something spoken	1
epessi	ἔπεσσι	ἔπος	something spoken	1
epessin	ἔπεσσιν	ἔπος	something spoken	1
epeus	ἔπευς	ἔπος	something spoken	1
epephne	ἔπεφνε	ἔπεφνον	to slay, kill	0
epephnen	ἔπεφνεν	ἔπεφνον	to slay, kill	0
epephnes	ἔπεφνες	ἔπεφνον	to slay, kill	0
epephnon	ἔπεφνον	ἔπεφνον	to slay, kill	0
epe	ἔπη	ἔπος	something spoken	1
epelun	ἔπηλυν	ἔπηλυς	coming to a place	0
epelus	ἔπηλυς	ἔπηλυς	coming to a place	0
epi	ἔπι	ἔπι	stress-shifted form of ἐπί (epí) (when used postpositionally	0
epithon	ἔπιθον	πείθω	to convince, persuade	0
epion	ἔπιον	πίνω	to drink	0
epipla	ἔπιπλα	ἔπιπλα	movable property	0
eplei	ἔπλει	πλέω	to sail (in a boat)	0
epleis	ἔπλεις	πλέω	to sail (in a boat)	0
epleon	ἔπλεον	πλέω	to sail (in a boat)	0
epleu	ἔπλευ	πέλω	to be	0
epleusa	ἔπλευσα	πλέω	to sail (in a boat)	0
epleusan	ἔπλευσαν	πλέω	to sail (in a boat)	0
epleusen	ἔπλευσεν	πλέω	to sail (in a boat)	0
eplozon	ἔπλῳζον	πλωΐζω	to sail on the ocean	0
epnei	ἔπνει	πνέω	to blow	0
epneis	ἔπνεις	πνέω	to blow	0
epneon	ἔπνεον	πνέω	to blow	0
epneusa	ἔπνευσα	πνέω	to blow	0
eporon	ἔπορον	ἔπορον	to give, furnish, supply	0
epos	ἔπος	ἔπος	something spoken	1
epous	ἔπους	ἔπος	something spoken	1
epokhon	ἔποχον	ἔποχον	saddlecloth, housing	0
epops	ἔποψ	ἔποψ	hoopoe (Upupa epops)	0
epopsis	ἔποψις	ἔποψις	a view over, as far as the view from the temple reached	0
eprepe	ἔπρεπε	πρέπω	to be clearly seen, to be visible or conspicuous among a num	0
eptato	ἔπτατο	πέτομαι	to fly	0
epo	ἔπω	ἔπω	to speak, say	0
eraze	ἔραζε	ἔραζε	to the ground	0
eramai	ἔραμαι	ἔραμαι	[with genitive]	0
eranos	ἔρανος	ἔρανος	meal to which each contributed his share	0
erboulos	ἔρβουλος	ἔρβουλος	kind of wine produced in Italy	0
erga	ἔργα	ἔργον	work, labour, task	1
ergoin	ἔργοιν	ἔργον	work, labour, task	1
ergoio	ἔργοιο	ἔργον	work, labour, task	1
ergois	ἔργοις	ἔργον	work, labour, task	1
ergoisi	ἔργοισι	ἔργον	work, labour, task	1
ergoisin	ἔργοισιν	ἔργον	work, labour, task	1
ergon	ἔργον	ἔργον	work, labour, task	1
ergou	ἔργου	ἔργον	work, labour, task	1
ergo	ἔργω	ἔργω	to close off, enclose	0
ergo	ἔργῳ	ἔργον	work, labour, task	1
erdein	ἔρδειν	ἔρδω	to act (as opposed to speaking or being acted on)	0
erdo	ἔρδω	ἔρδω	to act (as opposed to speaking or being acted on)	0
erebos	ἔρεβος	ἔρεβος	darkness	0
erexa	ἔρεξα	ῥέζω	to do, make	0
erexe	ἔρεξε	ῥέζω	to do, make	0
erexen	ἔρεξεν	ῥέζω	to do, make	0
ereuna	ἔρευνα	ἔρευνα	an inquiry, a search	0
erepsa	ἔρεψα	ἐρέφω	to cover with a roof	0
erithos	ἔριθος	ἔριθος	day laborer	0
erion	ἔριον	ἔριον	wool	0
eris	ἔρις	ἔρις	strife	0
eriphos	ἔριφος	ἔριφος	kid	0
ernos	ἔρνος	ἔρνος	young shoot, sprout	0
erxon	ἔρξον	ἔρδω	to act (as opposed to speaking or being acted on)	0
eroito	ἔροιτο	ἔρομαι	to ask	0
eromai	ἔρομαι	ἔρομαι	to ask	0
eros	ἔρως	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
erree	ἔρρεε	ἔρρεε	uncontracted third-person singular imperfect active indicati	0
erreen	ἔρρεεν	ῥέω	to flow	0
errei	ἔρρει	ῥέω	to flow	0
erreon	ἔρρεον	ῥέω	to flow	0
erreusa	ἔρρευσα	ῥέω	to flow	0
errinon	ἔρρινον	ἔρρινον	a sternutatory medicine, to cause sneezing	0
erripse	ἔρριψε	ῥίπτω	to throw	0
erro	ἔρρω	ἔρρω	to go slowly, to limp	0
errosthe	ἔρρωσθε	ἔρρωσθε	be in good health, goodbye, farewell (= valete, Latin)	0
erroso	ἔρρωσο	ἔρρωσο	be in good health, goodbye, farewell (= Latin vale)	0
eruma	ἔρυμα	ἔρυμα	stronghold, protection	0
erusthai	ἔρυσθαι	ἔρυσθαι	athematic present mediopassive infinitive of ῥῡ́ομαι (rhū́om	0
erusos	ἔρυσος	ἔρυσος	kind of basket	0
erussan	ἔρυσσαν	ἐρύω	to draw, drag, pull	0
eruto	ἔρυτο	ῥύομαι	to protect, guard, preserve	0
erphos	ἔρφος	ἔρφος	skin	0
erkheai	ἔρχεαι	ἔρχομαι	to go	0
erkhei	ἔρχει	ἔρχομαι	to go	0
erkhetai	ἔρχεται	ἔρχομαι	to go	0
erkhoito	ἔρχοιτο	ἔρχομαι	to go	0
erkhomai	ἔρχομαι	ἔρχομαι	to go	0
erkhe	ἔρχῃ	ἔρχομαι	to go	0
erosi	ἔρωσι	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
erosin	ἔρωσιν	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
erota	ἔρωτα	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
erotas	ἔρωτας	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
erote	ἔρωτε	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
erotes	ἔρωτες	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
eroti	ἔρωτι	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
erotos	ἔρωτος	ἔρως	love, desire (usually of a romantic/sexual nature) (often pe	0
esan	ἔσαν	εἰμί	to be	0
eseisa	ἔσεισα	σείω	to shake	0
eseisan	ἔσεισαν	σείω	to shake	0
eseise	ἔσεισε	σείω	to shake	0
eseisen	ἔσεισεν	σείω	to shake	0
esesthai	ἔσεσθαι	εἰμί	to be	0
estho	ἔσθω	ἐσθίω	to eat	0
eske	ἔσκε	εἰμί	to be	0
esken	ἔσκεν	εἰμί	to be	0
esomai	ἔσομαι	εἰμί	to be	0
espete	ἔσπετε	ἐνέπω	tell or tell about	0
esseai	ἔσσεαι	εἰμί	to be	0
essetai	ἔσσεται	εἰμί	to be	0
essomai	ἔσσομαι	εἰμί	to be	0
essontai	ἔσσονται	εἰμί	to be	0
estai	ἔσται	εἰμί	to be	0
este	ἔστε	ἔστε	until, up to that time	0
estene	ἔστενε	στένω	to moan, groan	0
estepsa	ἔστεψα	στέφω	to put around	0
este	ἔστη	ἵστημι	to stand	0
estemen	ἔστημεν	ἵστημι	to stand	0
esten	ἔστην	ἵστημι	to stand	0
estes	ἔστης	ἵστημι	to stand	0
estese	ἔστησε	ἵστημι	to stand	0
estete	ἔστητε	ἵστημι	to stand	0
esti	ἔστι	ἔστι	paroxytone third-person singular present indicative active o	0
estin	ἔστιν	ἔστιν	paroxytone third-person singular present indicative active o	0
estrepsa	ἔστρεψα	στρέφω	to twist	0
esto	ἔστω	εἰμί	to be	0
estosan	ἔστωσαν	εἰμί	to be	0
esphaxan	ἔσφαξαν	σφάζω	to slay, slaughter, cut the throat	0
eskhamen	ἔσχαμεν	ἔχω	to have, possess, contain, own	0
eskhan	ἔσχαν	ἔχω	to have, possess, contain, own	0
eskhaton	ἔσχατον	ἔσχατον	the end	0
eskhatos	ἔσχατος	ἔσχατος	At one end of a continuum	1
eskhe	ἔσχε	ἔχω	to have, possess, contain, own	0
eskhen	ἔσχεν	ἔχω	to have, possess, contain, own	0
eskheo	ἔσχεο	ἔχω	to have, possess, contain, own	0
eskhes	ἔσχες	ἔχω	to have, possess, contain, own	0
eskhete	ἔσχετε	ἔχω	to have, possess, contain, own	0
eskheto	ἔσχετο	ἔχω	to have, possess, contain, own	0
eskheton	ἔσχετον	ἔχω	to have, possess, contain, own	0
eskheka	ἔσχηκα	ἔχω	to have, possess, contain, own	0
eskhekas	ἔσχηκας	ἔχω	to have, possess, contain, own	0
eskheke	ἔσχηκε	ἔχω	to have, possess, contain, own	0
eskheken	ἔσχηκεν	ἔχω	to have, possess, contain, own	0
eskhemai	ἔσχημαι	ἔχω	to have, possess, contain, own	0
eskhesai	ἔσχησαι	ἔχω	to have, possess, contain, own	0
eskhon	ἔσχον	ἔχω	to have, possess, contain, own	0
eskhonto	ἔσχοντο	ἔχω	to have, possess, contain, own	0
eskhou	ἔσχου	ἔχω	to have, possess, contain, own	0
eso	ἔσω	εἴσω	into	0
esose	ἔσωσε	σῴζω	to save	0
esosen	ἔσωσεν	σῴζω	to save	0
esoze	ἔσῳζε	σῴζω	to save	0
esozen	ἔσῳζεν	σῴζω	to save	0
esozes	ἔσῳζες	σῴζω	to save	0
esozon	ἔσῳζον	σῴζω	to save	0
etai	ἔται	ἔτης	clansman	0
etalon	ἔταλον	ἔταλον	a young animal	0
etaxan	ἔταξαν	τάσσω	to arrange, put in order	0
etaphon	ἔταφον	τέθηπα	to be astonished, astounded, amazed	0
etea	ἔτεα	ἔτος	year	0
etei	ἔτει	ἔτος	year	0
eteina	ἔτεινα	τείνω	to stretch, extend	0
eteinon	ἔτεινον	τείνω	to stretch, extend	0
eteken	ἔτεκεν	τίκτω	to beget, give birth to	0
etelis	ἔτελις	ἔτελις	kind of fish, perhaps the gilthead	0
etelle	ἔτελλε	τέλλω	to accomplish, perform	0
etemen	ἔτεμεν	ἔτεμεν	prevocalic/clause-final third-person singular aorist active	0
etemon	ἔτεμον	τέμνω	to cut	0
eteos	ἔτεος	ἔτος	year	0
eterpsa	ἔτερψα	τέρπω	to delight	0
etesi	ἔτεσι	ἔτος	year	0
etesin	ἔτεσιν	ἔτος	year	0
ete	ἔτη	ἔτος	year	0
etes	ἔτης	ἔτης	clansman	0
eti	ἔτι	ἔτι	yet, still	0
etikte	ἔτικτε	τίκτω	to beget, give birth to	0
etle	ἔτλη	ἔτλην	to suffer, undergo	0
etlen	ἔτλην	ἔτλην	to suffer, undergo	0
etles	ἔτλης	ἔτλην	to suffer, undergo	0
etnos	ἔτνος	ἔτνος	thick soup made with peas or beans	0
etos	ἔτος	ἔτος	year	0
etous	ἔτους	ἔτος	year	0
etrephe	ἔτρεφε	τρέφω	to make to grow, to increase, bring up, breed, rear (especia	0
etrephen	ἔτρεφεν	τρέφω	to make to grow, to increase, bring up, breed, rear (especia	0
etrephes	ἔτρεφες	τρέφω	to make to grow, to increase, bring up, breed, rear (especia	0
etrephon	ἔτρεφον	τρέφω	to make to grow, to increase, bring up, breed, rear (especia	0
etrekhe	ἔτρεχε	τρέχω	to run	0
etrekhen	ἔτρεχεν	τρέχω	to run	0
etrekhon	ἔτρεχον	τρέχω	to run	0
etrepsa	ἔτρεψα	τρέπω	turn, divert, turn back, rout an enemy	0
etrepsan	ἔτρεψαν	τρέπω	turn, divert, turn back, rout an enemy	0
etumon	ἔτυμον	ἔτυμον	the true sense or meaning of a word according to its origins	1
etumos	ἔτυμος	ἔτυμος	true, real, sure	0
ephagon	ἔφαγον	ἔφαγον	to eat	1
ephaine	ἔφαινε	φαίνω	to cause to appear	1
ephaines	ἔφαινες	φαίνω	to cause to appear	1
ephainon	ἔφαινον	φαίνω	to cause to appear	1
ephanto	ἔφαντο	φημί	to speak	0
ephato	ἔφατο	φημί	to speak	0
ephapsis	ἔφαψις	ἔφαψις	a touch, caress	0
ephedros	ἔφεδρος	ἔφεδρος	sitting or seated upon	0
ephepe	ἔφεπε	ἐφέπω	to follow up, pursue	0
ephere	ἔφερε	φέρω	to bring, bear, carry	0
epheren	ἔφερεν	φέρω	to bring, bear, carry	0
epheres	ἔφερες	φέρω	to bring, bear, carry	0
epheron	ἔφερον	φέρω	to bring, bear, carry	0
ephe	ἔφη	φημί	to speak	0
ephebe	ἔφηβε	ἔφηβος	adolescent (around ages 17-20 traditionally)	0
epheboi	ἔφηβοι	ἔφηβος	adolescent (around ages 17-20 traditionally)	0
ephebos	ἔφηβος	ἔφηβος	adolescent (around ages 17-20 traditionally)	0
ephelis	ἔφηλις	ἔφηλις	rivet, burr or clinch to secure a nail	1
ephen	ἔφην	φημί	to speak	0
ephes	ἔφης	φημί	to speak	0
ephesa	ἔφησα	φημί	to speak	0
ephesas	ἔφησας	φημί	to speak	0
ephese	ἔφησε	φημί	to speak	0
ephesen	ἔφησεν	φημί	to speak	0
ephestha	ἔφησθα	φημί	to speak	0
ephodon	ἔφοδον	ἔφοδος	approach, access	0
ephodos	ἔφοδος	ἔφοδος	approach, access	0
ephoros	ἔφορος	ἔφορος	overseer	1
ephugon	ἔφυγον	φεύγω	to flee, run off, go a certain direction with haste (often w	0
ekhaire	ἔχαιρε	χαίρω	to be full of cheer	0
ekhairen	ἔχαιρεν	χαίρω	to be full of cheer	0
ekhaires	ἔχαιρες	χαίρω	to be full of cheer	0
ekhairon	ἔχαιρον	χαίρω	to be full of cheer	0
ekhe	ἔχε	ἔχω	to have, possess, contain, own	0
ekheai	ἔχεαι	ἔχω	to have, possess, contain, own	0
ekhei	ἔχει	ἔχω	to have, possess, contain, own	0
ekhein	ἔχειν	ἔχω	to have, possess, contain, own	0
ekheis	ἔχεις	ἔχω	to have, possess, contain, own	0
ekhen	ἔχεν	ἔχω	to have, possess, contain, own	0
ekheo	ἔχεο	ἔχω	to have, possess, contain, own	0
ekhes	ἔχες	ἔχω	to have, possess, contain, own	0
ekheske	ἔχεσκε	ἔχω	to have, possess, contain, own	0
ekhesken	ἔχεσκεν	ἔχω	to have, possess, contain, own	0
ekheskes	ἔχεσκες	ἔχω	to have, possess, contain, own	0
ekheskon	ἔχεσκον	ἔχω	to have, possess, contain, own	0
ekhetai	ἔχεται	ἔχω	to have, possess, contain, own	0
ekhete	ἔχετε	ἔχω	to have, possess, contain, own	0
ekheton	ἔχετον	ἔχω	to have, possess, contain, own	0
ekheuan	ἔχευαν	χέω	to pour	0
ekheue	ἔχευε	χέω	to pour	0
ekheuen	ἔχευεν	χέω	to pour	0
ekhesthe	ἔχησθε	ἔχω	to have, possess, contain, own	0
ekhthei	ἔχθει	ἔχθος	hate	0
ekhthesi	ἔχθεσι	ἔχθος	hate	0
ekhthe	ἔχθη	ἔχθος	hate	0
ekhthos	ἔχθος	ἔχθος	hate	0
ekhthous	ἔχθους	ἔχθος	hate	0
ekhthra	ἔχθρα	ἔχθρα	hatred	0
ekhtho	ἔχθω	ἔχθω	to hate	0
ekhidna	ἔχιδνα	ἔχιδνα	snake (traditionally held as the poisonous snake viper, but	1
ekhion	ἔχιον	ἔχιον	purple viper's bugloss (Echium plantagineum)	0
ekhis	ἔχις	ἔχις	snake	0
ekhma	ἔχμα	ἔχμα	hindrance, impediment	0
ekhmata	ἔχματα	ἔχμα	hindrance, impediment	0
ekhoi	ἔχοι	ἔχω	to have, possess, contain, own	0
ekhoien	ἔχοιεν	ἔχω	to have, possess, contain, own	0
ekhoimi	ἔχοιμι	ἔχω	to have, possess, contain, own	0
ekhointo	ἔχοιντο	ἔχω	to have, possess, contain, own	0
ekhoio	ἔχοιο	ἔχω	to have, possess, contain, own	0
ekhois	ἔχοις	ἔχω	to have, possess, contain, own	0
ekhoite	ἔχοιτε	ἔχω	to have, possess, contain, own	0
ekhoito	ἔχοιτο	ἔχω	to have, possess, contain, own	0
ekhomai	ἔχομαι	ἔχω	to have, possess, contain, own	0
ekhontai	ἔχονται	ἔχω	to have, possess, contain, own	0
ekhonto	ἔχοντο	ἔχω	to have, possess, contain, own	0
ekhou	ἔχου	ἔχω	to have, possess, contain, own	0
ekhousi	ἔχουσι	ἔχω	to have, possess, contain, own	0
ekhousin	ἔχουσιν	ἔχω	to have, possess, contain, own	0
ekho	ἔχω	ἔχω	to have, possess, contain, own	0
ekhon	ἔχων	ἔχω	to have, possess, contain, own	0
ekhosi	ἔχωσι	ἔχω	to have, possess, contain, own	0
ekhosin	ἔχωσιν	ἔχω	to have, possess, contain, own	0
ekhestha	ἔχῃσθα	ἔχω	to have, possess, contain, own	0
ekhesi	ἔχῃσι	ἔχω	to have, possess, contain, own	0
ekhesin	ἔχῃσιν	ἔχω	to have, possess, contain, own	0
eosin	ἔωσιν	εἰμί	to be	0
eesi	ἔῃσι	εἰμί	to be	0
eesin	ἔῃσιν	εἰμί	to be	0
ebdoma	ἕβδομα	ἕβδομος	seventh	0
ebdomai	ἕβδομαι	ἕβδομος	seventh	0
ebdomoi	ἕβδομοι	ἕβδομος	seventh	0
ebdomos	ἕβδομος	ἕβδομος	seventh	0
edna	ἕδνα	ἕδνον	dowry	0
ednois	ἕδνοις	ἕδνον	dowry	0
ednon	ἕδνον	ἕδνον	dowry	0
edos	ἕδος	ἕδος	a seat	0
edra	ἕδρα	ἕδρα	seat, chair, stool, bench	1
eeis	ἕεις	εἷς	one	0
ezeto	ἕζετο	ἕζομαι	to sit, sit oneself	0
ezomai	ἕζομαι	ἕζομαι	to sit, sit oneself	0
ezonto	ἕζοντο	ἕζομαι	to sit, sit oneself	0
ees	ἕης	ὅς	this	0
ethen	ἕθεν	οὗ	"of him/her/it", "than him/her/it", etc	0
ekathen	ἕκαθεν	ἕκαθεν	from afar	0
ekasta	ἕκαστα	ἕκαστος	each, every	0
ekastos	ἕκαστος	ἕκαστος	each, every	0
ekaton	ἕκατον	ἕκατος	far-shooting (epithet of Apollo and Artemis)	0
ekatos	ἕκατος	ἕκατος	far-shooting (epithet of Apollo and Artemis)	0
ekeloi	ἕκηλοι	ἕκηλος	untroubled, quiet, at one's ease	0
ekelos	ἕκηλος	ἕκηλος	untroubled, quiet, at one's ease	0
ekta	ἕκτα	ἕκτος	sixth	0
ekte	ἕκτη	ἕκτος	sixth	0
ektes	ἕκτης	ἕκτος	sixth	0
ekton	ἕκτον	ἕκτος	sixth	0
ektos	ἕκτος	ἕκτος	sixth	0
ektou	ἕκτου	ἕκτος	sixth	0
ekto	ἕκτω	ἕκτος	sixth	0
ektor	ἕκτωρ	ἕκτωρ	held fast	0
ele	ἕλε	αἱρέω	to take, grasp, seize	0
elea	ἕλεα	ἕλος	marsh-meadow	1
elei	ἕλει	ἕλος	marsh-meadow	1
elen	ἕλεν	αἱρέω	to take, grasp, seize	0
elesi	ἕλεσι	ἕλος	marsh-meadow	1
elesin	ἕλεσιν	ἕλος	marsh-meadow	1
eleto	ἕλετο	αἱρέω	to take, grasp, seize	0
ele	ἕλη	ἕλος	marsh-meadow	1
eletai	ἕληται	αἱρέω	to take, grasp, seize	0
elete	ἕλητε	αἱρέω	to take, grasp, seize	0
elix	ἕλιξ	ἕλιξ	anything twisted, winding or in a spiral	1
elke	ἕλκε	ἕλκω	to drag (pull along a surface)	0
elkei	ἕλκει	ἕλκω	to drag (pull along a surface)	0
elkeis	ἕλκεις	ἕλκω	to drag (pull along a surface)	0
elkeos	ἕλκεος	ἕλκος	an open wound	0
elkesi	ἕλκεσι	ἕλκος	an open wound	0
elkesin	ἕλκεσιν	ἕλκος	an open wound	0
elkete	ἕλκετε	ἕλκω	to drag (pull along a surface)	0
elketo	ἕλκετο	ἕλκω	to drag (pull along a surface)	0
elke	ἕλκη	ἕλκος	an open wound	0
elkomai	ἕλκομαι	ἕλκω	to drag (pull along a surface)	0
elkomen	ἕλκομεν	ἕλκω	to drag (pull along a surface)	0
elkon	ἕλκον	ἕλκω	to drag (pull along a surface)	0
elkos	ἕλκος	ἕλκος	an open wound	0
elkous	ἕλκους	ἕλκος	an open wound	0
elko	ἕλκω	ἕλκω	to drag (pull along a surface)	0
ella	ἕλλα	ἕλλα	seat	0
elmins	ἕλμινς	ἕλμινς	parasitic worm	1
eloi	ἕλοι	αἱρέω	to take, grasp, seize	0
elois	ἕλοις	αἱρέω	to take, grasp, seize	0
eloito	ἕλοιτο	αἱρέω	to take, grasp, seize	0
elonto	ἕλοντο	αἱρέω	to take, grasp, seize	0
elos	ἕλος	ἕλος	marsh-meadow	1
elous	ἕλους	ἕλος	marsh-meadow	1
elo	ἕλω	αἱρέω	to take, grasp, seize	0
elomai	ἕλωμαι	αἱρέω	to take, grasp, seize	0
elomen	ἕλωμεν	αἱρέω	to take, grasp, seize	0
elor	ἕλωρ	ἕλωρ	prey	0
elora	ἕλωρα	ἕλωρ	prey	0
elori	ἕλωρι	ἕλωρ	prey	0
eloros	ἕλωρος	ἕλωρ	prey	0
eles	ἕλῃς	αἱρέω	to take, grasp, seize	0
hen	ἕν	εἷς	one	0
ena	ἕνα	εἷς	one	0
endeka	ἕνδεκα	ἕνδεκα	eleven	0
eneka	ἕνεκα	ἕνεκα	on account of, for the sake of, because of	0
ene	ἕνη	ἕνος	belonging to the former of two periods, last year's	0
ennumi	ἕννυμι	ἕννυμι	to put clothes on, wear, dress	0
enos	ἕνος	ἕνος	belonging to the former of two periods, last year's	0
ento	ἕντο	ἵημι	to release, let go	0
hex	ἕξ	ἕξ	six	1
exei	ἕξει	ἔχω	to have, possess, contain, own	0
exein	ἕξειν	ἔχω	to have, possess, contain, own	0
exeis	ἕξεις	ἔχω	to have, possess, contain, own	0
exesthai	ἕξεσθαι	ἔχω	to have, possess, contain, own	0
exesthe	ἕξεσθε	ἔχω	to have, possess, contain, own	0
exetai	ἕξεται	ἔχω	to have, possess, contain, own	0
exete	ἕξετε	ἔχω	to have, possess, contain, own	0
exeton	ἕξετον	ἔχω	to have, possess, contain, own	0
exis	ἕξις	ἕξις	possession (the act of having something)	0
exoi	ἕξοι	ἔχω	to have, possess, contain, own	0
exoien	ἕξοιεν	ἔχω	to have, possess, contain, own	0
exoimen	ἕξοιμεν	ἔχω	to have, possess, contain, own	0
exoimi	ἕξοιμι	ἔχω	to have, possess, contain, own	0
exois	ἕξοις	ἔχω	to have, possess, contain, own	0
exoite	ἕξοιτε	ἔχω	to have, possess, contain, own	0
exomai	ἕξομαι	ἔχω	to have, possess, contain, own	0
exomen	ἕξομεν	ἔχω	to have, possess, contain, own	0
exontai	ἕξονται	ἔχω	to have, possess, contain, own	0
exo	ἕξω	ἔχω	to have, possess, contain, own	0
exon	ἕξων	ἔχω	to have, possess, contain, own	0
exe	ἕξῃ	ἔχω	to have, possess, contain, own	0
heo	ἕο	οὗ	"of him/her/it", "than him/her/it", etc	0
epesthai	ἕπεσθαι	ἕπομαι	to follow, obey	0
epetai	ἕπεται	ἕπομαι	to follow, obey	0
epeto	ἕπετο	ἕπομαι	to follow, obey	0
epeu	ἕπευ	ἕπομαι	to follow, obey	0
epoito	ἕποιτο	ἕπομαι	to follow, obey	0
epomai	ἕπομαι	ἕπομαι	to follow, obey	0
epontai	ἕπονται	ἕπομαι	to follow, obey	0
eponto	ἕποντο	ἕπομαι	to follow, obey	0
epo	ἕπω	ἕπω	to busy oneself with	0
erkos	ἕρκος	ἕρκος	fence, enclosure	0
erma	ἕρμα	ἕρμα	prop	0
ermax	ἕρμαξ	ἕρμαξ	heap of stones	0
erpein	ἕρπειν	ἕρπω	to move slowly, walk	0
erpes	ἕρπης	ἕρπης	herpes, shingles	0
erpullos	ἕρπυλλος	ἕρπυλλος	wild thyme (Thymus serpyllum)	0
erpo	ἕρπω	ἕρπω	to move slowly, walk	0
erse	ἕρση	ἕρση	dew	0
esperos	ἕσπερος	ἕσπερος	of or at evening	0
espeto	ἕσπετο	ἕπομαι	to follow, obey	0
estasan	ἕστασαν	ἵστημι	to stand	0
esteke	ἕστηκε	ἵστημι	to stand	0
esto	ἕστο	ἕννυμι	to put clothes on, wear, dress	0
estor	ἕστωρ	ἕστωρ	peg at the end of the chariot pole, passing through the yoke	0
etaros	ἕταρος	ἑταῖρος	comrade, companion, partner, friend	1
eterai	ἕτεραι	ἕτερος	one or the other of two	1
eteroi	ἕτεροι	ἕτερος	one or the other of two	1
eteros	ἕτερος	ἕτερος	one or the other of two	1
epso	ἕψω	ἕψω	to boil, seethe	0
heo	ἕω	ἕως	until	0
eothen	ἕωθεν	ἕωθεν	from morn	0
eolos	ἕωλος	ἕωλος	stale, a day old, kept till the morrow	0
eon	ἕων	ὅς	this	0
eos	ἕως	ἕως	until	0
heoi	ἕῳ	ἕως	until	0
eitheos	ἠΐθεος	ἠΐθεος	unmarried young man, bachelor	0
eukomos	ἠΰκομος	ἠΰκομος	Epic and Lyric form of εὔκομος (eúkomos, “lovely-haired”)	0
eute	ἠΰτε	ἠΰτε	as	0
ebaion	ἠβαιόν	ἠβαιός	little, small	0
ebaios	ἠβαιός	ἠβαιός	little, small	0
egageto	ἠγάγετο	ἄγω	to lead, fetch, bring along (a living creature), take with	0
egatheos	ἠγάθεος	ἠγάθεος	most holy (of places)	0
egapa	ἠγάπα	ἀγαπάω	to show affection for the dead	0
egapae	ἠγάπαε	ἀγαπάω	to show affection for the dead	0
